C/ F,R/ Ohm,V_ripple/ V
0.0001,150.0,13.51136502872113
0.0001,220.0,10.879100335664404
0.0001,470.0,6.396286889297427
0.0001,1000.0,3.43381840639368
0.0001,1500.0,2.397785103887127
0.0001,2200.0,1.6893239792740111
0.0001,4700.0,0.825764289013744
0.0001,10000.0,0.398021316204634
0.0001,1000000.0,0.004136124516044504
0.001,150.0,2.397785103887127
0.001,220.0,1.6893239792740111
0.001,470.0,0.825764289013744
0.001,1000.0,0.398021316204634
0.001,1500.0,0.2677833885056806
0.001,2200.0,0.18378920193548964
0.001,4700.0,0.08681808091501608
0.001,10000.0,0.04103836455931997
0.001,1000000.0,0.0004145209189232446
